Kulm Hotel,Via Velgia 18 7500,St. Moritz,Switzerland,7500,5,110000,/static/images/hotel_1.jpeg
Badrutts Palace Hotel,Via Serlas 27 7500,St. Moritz,Switzerland,7500,5,110000,/static/images/hotel_2.jpeg
Grand Resort Bad Ragaz,Grand Resort 7310,Bad Ragaz,Switzerland,7310,5,46000,/static/images/hotel_3.jpeg
Fairmont Grand Hotel,Quai du Mont Blanc Paquis 1211,Geneva,Switzerland,1211,5,37000,/static/images/hotel_4.jpeg
Grand Hotel des Bains Kempinski,Via Mezdi 27,St. Moritz,Switzerland,7500,5,98000,/static/images/hotel_5.jpeg
Sheraton Center Toronto Hotel,123 Queen St W,Toronto,Canada,M5H2M9,4.5,14000,/static/images/hotel_6.webp
Fairmont Royal York,100 Front St West,Toronto,Canada,M5J1E3,4.5,12000,/static/images/hotel_7.webp
Coast Coal Harbour Vancouver Hotel,1180 Hastings Street W,Vancouver,Canada,V6E4R5BC,4.5,10000,/static/images/hotel_8.webp
Pinnacle Hotel Harbourfront,1133 Hastings Street W,Vancouver,Canada,V6E4R5BC,4.5,10000,/static/images/hotel_9.wepp
Vogue Hotel,1425 de La Montagne,Montreal,Canada,H3G1Z3,5,16000,/static/images/hotel_10.webp
Okura Tokyo Bay,8-10 Maihama,Urayasu,Japan,2790031,4.5,14000,/static/images/hotel_11.jpeg
Halekulani,1967-1 Nakama,Okinawa,Japan,9090401,4.5,25000,/static/images/hotel_12.jpeg
Kyoto Hotel,Kawaramachi Oike,Kyoto,Japan,6040924,4.5,17000,/static/images/hotel_13.jpeg
Hyatt Regency,644-2 Sanjusangendo - Mawari,Kyoto,Japan,6050941,4.5,30000,/static/images/hotel_14.jpeg
Park Hyatt,3-7-1-2 Nishi Shinjuku,Shinjuku,Japan,1631055,4.5,43000,/static/images/hotel_15.jpeg
Wellness & Sporthotel Jagdhof,Putzgartenstr. 2,Rohrnbach,Germany,94133,5,40000,/static/images/hotel_16.jpeg
Natur Apartments Stauensfliess,Schwarze Ecke 17,Brandenburg,Germany,03096,5,25000,/static/images/hotel_17.jpeg
Jagdhaus Eiden am See,Eiden 9,Lower Saxony,Germany,26160,4.5,18000,/static/images/hotel_18.jpeg
Schulz Berlin Wall,Stralauer Platz 36,Berin,Germany,10243,4.5,12000,/static/images/hotel_19.jpeg
Zum Ochsen,Ludwig-Uhland-Str. 18,Baden-Wurttemberg,Germany,78141,4.5,10000,/static/images/hotel_20.jpeg
Ingot Hotel Perth,285 Great Eastern Highway,Perth,Australia,6104,4,10000,/static/images/hotel_21.jpeg
Mofat Beach Motel,Cnr Roderick and Buccleugh Streets,Caloundra,Australia,4551,3.5,10000,/static/images/hotel_22.jpeg
Miramare Gardens Boutique,48 Mayoora Road,Terrey Hills,Australia,2084,4.5,9000,/static/images/hotel_23.jpeg
Knotts Crossing Resort,Cnr Gills & Cameron Streets,Katherine,Australia,0851,3,7500,/static/images/hotel_24.jpeg
Excelsior Motor Inn,92 William Street,Port Macquarie,Australia,2444,3.5,8500,/static/images/hotel_25.jpeg
Bradburys of Blackpool,7 Havelock Street,Blackpool,United Kingdom,FY14BN,5,7000,/static/images/hotel_26.jpeg
Windermere Boutique Hotel,Lake Road,Windermere,United Kingdom,LA232EQ,5,25000,/static/images/hotel_27.jpeg
Dakota Manchester,29 Ducie Street,Manchester,United Kingdom,M12JL,5,15500,/static/images/hotel_28.jpeg
The Kennard,11 Henrietta Street Off Great Pulteney Street,Bath,United Kingdom,BA26LL,5,19500,/static/images/hotel_29.jpeg
Tower Guest House,2 Feversham Crescent,York,United Kingdom,YO318HQ,5,11500,/static/images/hotel_30.jpeg
Omni Dallas Hotel,555 S. Lamar St.,Dallas,United States,TX 75202-1961,4.5,25000,/static/images/hotel_31.jpeg
Lands End Inn,22 Commercial St,Provincetown,United States,MA 02657-1910,5,17500,/static/images/hotel_32.jpeg
Lookout Point Lakeside Inn,104 Lookout Circle,Hot Springs,United States,AR 71913,5,24000,/static/images/hotel_33.jpeg
Carson Ridge Luxury Cabins,1261 Wind River Hwy,Carson,United States,WA 98610-3257,5,22500,/static/images/hotel_34.jpeg
Pacific Terrace Hotel,610 Diamond Street,San Diego,United States,CA 92109-2444,4.5,41000,/static/images/hotel_35.jpeg
Radisson Blu Scandinavia,Sodra Hamngatan 59,Gothenburg,Sweden,40124,4,10500,/static/images/hotel_36.jpeg
Radisson Blu Royal Viking Hotel,1 Vasagatan P.O. Box 234,Stockholm,Sweden,11120,4,13500,/static/images/hotel_37.jpeg
Scandic Rubinen,Kungsportsavenyn 24,Gothenburg,Sweden,40014,3.5,10000,/static/images/hotel_38.jpeg
Gothia Towers,Massans gata 24,Gothenburg,Sweden,40226,4,13000,/static/images/hotel_39.jpeg
Scandic Continental,Vasagatan 22,Stockholm,Sweden,11121,4,16500,/static/images/hotel_40.jpeg
Amsterdam Wiechmann Hotel,328-332,Prinsengracht,Netherlands,1016,4,12000,/static/images/hotel_41.jpeg
NH Maastricht,Forum 110,Maastricht,Netherlands,6229,4,7000,/static/images/hotel_42.jpeg
Hotel Mainport Rotterdam,77 Leuvehaven,Rotterdam,Netherlands,3011,4.5,12500,/static/images/hotel_43.jpeg
NH Utrecht,Jaarbeursplein 24,Utrecht,Netherlands,3521,4,11000,/static/images/hotel_44.jpeg
Hilton Garden Inn Leiden,Willem Einthovenstraat 3,Leiden,Netherlands,2342,4.5,8000,/static/images/hotel_45.jpeg
Scandic Ishavshotel,Fredrik Langes gate 2,Tromso,Norway,9008,4.5,16500,/static/images/hotel_46.jpeg
Scandic Ornen,Lars Hilles gate 18,Bergen,Norway,5008,4,17500,/static/images/hotel_47.jpeg
Bergen Bors Hotel,Vaagsallmenningen 1,Bergen,Norway,5014,4.5,20000,/static/images/hotel_48.jpeg
Scandic Nidelven,Havnegata 1-3,Trondheim,Norway,7010,4,15500,/static/images/hotel_49.jpeg
Smarthotel Tromso,Vestregata 6,Tromso,Norway,9008,4,8000,/static/images/hotel_50.jpeg